Grupo,Equipo,Puntos,PartidosJugados,Victorias,Empates,Derrotas,GolesAFavor,GolesEnContra,DiferenciaDeGoles
Group A,Argentina,0,0,0,0,0,0,0,0
Group A,Canada,0,0,0,0,0,0,0,0
Group A,Peru,0,0,0,0,0,0,0,0
Group A,Chile,0,0,0,0,0,0,0,0
Group A,CONCACAF 5,0,0,0,0,0,0,0,0
Group B,Ecuador,0,0,0,0,0,0,0,0
Group B,Venezuela,0,0,0,0,0,0,0,0
Group B,Mexico,0,0,0,0,0,0,0,0
Group B,Jamaica,0,0,0,0,0,0,0,0
Group C,United States,0,0,0,0,0,0,0,0
Group C,Bolivia,0,0,0,0,0,0,0,0
Group C,Uruguay,0,0,0,0,0,0,0,0
Group C,Panama,0,0,0,0,0,0,0,0
Group D,Colombia,0,0,0,0,0,0,0,0
Group D,Paraguay,0,0,0,0,0,0,0,0
Group D,Brazil,0,0,0,0,0,0,0,0
Group D,CONCACAF 6,0,0,0,0,0,0,0,0
,1A,0,0,0,0,0,0,0,0
,2B,0,0,0,0,0,0,0,0
,1B,0,0,0,0,0,0,0,0
,2A,0,0,0,0,0,0,0,0
,1D,0,0,0,0,0,0,0,0
,2C,0,0,0,0,0,0,0,0
,1C,0,0,0,0,0,0,0,0
,2D,0,0,0,0,0,0,0,0
,To be announced,0,0,0,0,0,0,0,0
